,note_name,start_time,duration,velocity,tempo
164,C5,104.5,0.498,100,130.0
165,C5,105.5,0.498,100,130.0
166,D5,106.0,1.498,127,130.0
167,C5,107.5,0.498,127,130.0
168,B-4,108.5,0.998,127,130.0
169,A4,109.5,0.248,127,130.0
170,B-4,109.75,0.248,127,130.0
171,C5,110.0,0.248,127,130.0
172,B-4,110.25,0.248,127,130.0
173,A4,110.5,0.248,127,130.0
174,C5,110.75,0.248,127,130.0
175,B-4,111.0,0.498,127,130.0
176,A4,112.0,0.498,127,130.0
177,A4,113.0,0.498,127,130.0
178,C5,114.0,0.248,127,130.0
179,B-4,114.5,0.498,127,130.0
180,A4,115.5,0.998,127,130.0
181,G4,116.5,0.498,127,130.0
182,F#4,117.5,0.248,127,130.0
183,G4,117.75,0.248,127,130.0
184,A4,118.0,0.248,127,130.0
185,G4,118.25,0.248,127,130.0
186,F#4,118.5,0.248,127,130.0
187,A4,118.75,0.248,127,130.0
188,G4,119.0,0.498,127,130.0
189,D5,120.0,0.498,127,130.0
190,D4,121.75,0.123,127,130.0
191,E4,122.0,0.498,127,130.0
192,F#4,123.0,0.498,127,130.0
193,G4,124.0,0.248,127,130.0
194,G4,124.5,0.998,127,130.0
195,F#4,125.5,0.248,127,130.0
196,G4,125.75,0.248,127,130.0
197,A4,126.0,0.248,127,130.0
198,G4,126.25,0.248,127,130.0
199,F#4,126.5,0.248,127,130.0
200,A4,126.75,0.248,127,130.0
201,G4,127.0,0.498,127,130.0
202,G4,128.0,0.498,127,130.0
203,D4,128.5,0.498,127,130.0
204,D4,129.0,0.248,127,130.0
205,D4,129.5,0.248,127,130.0
206,D4,130.0,0.498,127,130.0
207,C4,130.5,0.498,127,130.0
208,B3,131.0,0.498,127,130.0
209,C4,131.5,0.498,127,130.0
210,D4,132.0,0.248,127,130.0
211,G4,132.25,0.248,100,130.0
212,D4,132.5,0.498,127,130.0
213,G4,134.0,0.498,127,130.0
214,D4,134.5,0.498,127,130.0
215,D4,135.0,0.248,127,130.0
216,D4,135.5,0.248,127,130.0
217,D4,136.0,0.498,127,130.0
218,C4,136.5,0.498,127,130.0
219,B3,137.0,0.498,127,130.0
220,A3,137.5,0.498,127,130.0
221,G3,138.0,0.498,127,130.0
222,G3,138.5,0.498,127,130.0
223,G3,139.0,0.498,127,130.0
224,G5,140.0,0.498,127,130.0
225,D5,140.5,0.498,127,130.0
226,D5,141.0,0.498,127,130.0
227,D5,141.5,0.498,127,130.0
228,D5,142.0,0.498,127,130.0
229,C5,142.5,0.498,127,130.0
230,B4,143.0,0.498,127,130.0
231,C5,143.5,0.498,100,130.0
232,D5,144.0,0.498,127,130.0
233,G5,144.5,0.498,127,130.0
234,D5,145.0,0.498,127,130.0
235,G5,146.0,0.498,127,130.0
236,D5,146.5,0.498,127,130.0
237,D5,147.0,0.498,127,130.0
238,D5,147.5,0.498,127,130.0
239,D5,148.0,0.498,127,130.0
240,C5,148.5,0.498,127,130.0
241,B4,149.0,0.498,127,130.0
242,A4,149.5,0.498,127,130.0
243,G4,150.0,0.498,127,130.0
244,G4,150.5,0.498,127,130.0
